City/Town,Ward,Pct,"Scott A. Orr","Ed Amidon",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Charlotte,,,"1,129","1,092",1,0,"2,222"
Hinesburg,,,47,34,3,0,84
TOTALS,,,"1,176","1,126",4,0,"2,306"
