City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Colchester,-,"High Sch","3,601",41,0,"3,642"
Colchester,-,"Union Mem School","3,047",22,0,"3,069"
"Grand Isle",,,"1,037",13,0,"1,050"
"Isle La Motte",,,264,3,0,267
"N. Hero",,,492,4,0,496
"S. Hero",,,"1,000",15,0,"1,015"
TOTALS,,,"9,441",98,0,"9,539"
