City/Town,Ward,Pct,"Peg Flory",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Pittsford,,,"1,277",45,0,"1,322"
Sudbury,,,262,15,0,277
TOTALS,,,"1,539",60,0,"1,599"
