City/Town,Ward,Pct,"Sandy Haas","Henry L. Holmes",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican
Bethel,,,466,540,1,0,"1,007"
Pittsfield,,,138,124,1,0,263
Rochester,,,487,206,2,0,695
Stockbridge,,,188,179,1,0,368
TOTALS,,,"1,279","1,049",5,0,"2,333"
