City/Town,Ward,Pct,"Alison H. Clarkson","Preston J. Bristow, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Reading,,,260,147,0,0,407
Woodstock,,,"1,240",724,1,0,"1,965"
TOTALS,,,"1,500",871,1,0,"2,372"
