City/Town,Ward,Pct,"Willem Jewett","R. W. Tall",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cornwall,,,428,289,1,0,718
Goshen,,,93,40,1,0,134
Hancock,,,132,48,1,0,181
Leicester,,,293,260,1,0,554
Ripton,,,269,59,1,0,329
Salisbury,,,355,209,0,0,564
TOTALS,,,"1,570",905,5,0,"2,480"
