City/Town,Ward,Pct,"Norman H. McAllister","Albert J. Perry",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Berkshire,,,421,422,15,0,858
Franklin,,,419,372,6,0,797
Highgate,,,"1,001",763,5,0,"1,769"
Richford,,,592,672,31,0,"1,295"
TOTALS,,,"2,433","2,229",57,0,"4,719"
