City/Town,Ward,Pct,"Bill Botzow","Jerry Frey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Pownal,,,"1,445",370,3,0,"1,818"
Woodford,,,178,32,0,0,210
TOTALS,,,"1,623",402,3,0,"2,028"
