City/Town,Ward,Pct,"Harvey B. Otterman, Jr","Kevin N. Lawrence",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Groton,,,300,146,0,0,446
Newbury,-,"Center Town House",113,115,0,0,228
Newbury,-,"Town Office",193,382,2,0,577
Newbury,-,"West River Village",138,145,1,0,284
Topsham,,,374,163,0,0,537
TOTALS,,,"1,118",951,3,0,"2,072"
