City/Town,Ward,Pct,"Gaye Symington","William Frank","John Burke","John C. Stewart","James Oliver Orndorff",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican,Independent
Bolton,,,344,305,219,208,32,0,0,"1,108"
Jericho,,,"1,573","1,197","1,423","1,248",114,2,0,"5,557"
Underhill,,,"1,104","1,080",721,575,58,0,0,"3,538"
TOTALS,,,"3,021","2,582","2,363","2,031",204,2,0,"10,203"
