City/Town,Ward,Pct,"George Schiavone","Joan G. Lenes",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Shelburne,,,"1,007",968,1,0,"1,976"
"St. George",,,163,153,0,0,316
TOTALS,,,"1,170","1,121",1,0,"2,292"
