City/Town,Ward,Pct,"William Canfield","Robert Helm","Lilian Sheren","Patrick H. Eagan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Independent
Castleton,,,978,986,633,590,5,0,"3,192"
"Fair Haven",,,893,685,307,311,4,0,"2,200"
Hubbardton,,,153,179,109,148,3,0,592
"W. Haven",,,89,92,35,19,0,0,235
TOTALS,,,"2,113","1,942","1,084","1,068",12,0,"6,219"
