City/Town,Ward,Pct,"Ernest W. Shand","Gary Richardson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,356,356,2,0,714
Weathersfield,,,855,671,0,0,"1,526"
TOTALS,,,"1,211","1,027",2,0,"2,240"
