City/Town,Ward,Pct,"Steve Green","Ruth H. Towne",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Barre City",,,157,123,3,0,283
Berlin,,,668,651,5,0,"1,324"
TOTALS,,,825,774,8,0,"1,607"
