City/Town,Ward,Pct,"Brian E. Dubie","Cheryl Pratt Rivers","Steve Hingtgen","Peter Stevenson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Progressive,"Liberty Union"
"W. Windsor",,,354,222,44,7,0,0,627
Westfield,,,159,91,30,2,1,0,283
Westford,,,599,377,89,6,2,0,"1,073"
Westminster,-,"Windham 4",38,46,2,6,0,0,92
Westminster,-,"Windham 5",460,957,87,23,2,0,"1,529"
Westmore,,,128,70,9,3,0,0,210
Weston,,,193,165,16,2,1,0,377
Weybridge,,,255,242,25,2,0,0,524
Wheelock,,,181,87,31,7,0,0,306
Whiting,,,113,72,17,3,0,0,205
Whitingham,,,349,217,25,8,0,0,599
Williamstown,,,"1,082",373,87,16,0,0,"1,558"
Williston,,,"3,141","1,384",291,24,1,0,"4,841"
Wilmington,,,606,446,57,17,0,0,"1,126"
Windham,,,102,97,14,3,0,0,216
Windsor,,,749,824,87,24,2,0,"1,686"
Winhall,,,273,168,22,4,0,0,467
Winooski,,,"1,232","1,004",221,22,0,0,"2,479"
Wolcott,,,387,254,63,8,0,0,712
Woodbury,,,256,172,56,7,0,0,491
Woodford,,,105,76,16,2,0,0,199
Woodstock,,,"1,043",765,95,27,3,0,"1,933"
Worcester,,,219,215,89,4,0,0,527
TOTALS,,,"170,270","108,600","21,553","3,291",210,0,"303,924"
