City/Town,Ward,Pct,"David Sunderland","Lori A. Mesli","Richard Lloyd",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent
"Rutland Town",-,"Elementary Sch","1,108",376,262,0,0,"1,746"
"Rutland Town",-,"Town Hall",381,154,129,1,0,665
TOTALS,,,"1,489",530,391,1,0,"2,411"
