City/Town,Ward,Pct,"Dexter Randall","Kenneth Hamelin",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican
Jay,,,111,84,1,0,196
Lowell,,,144,180,0,0,324
Montgomery,,,347,248,0,0,595
Troy,,,328,313,1,0,642
Westfield,,,140,145,1,0,286
TOTALS,,,"1,070",970,3,0,"2,043"
