City/Town,Ward,Pct,"Kenneth W. Atkins","George C. Cross",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Burlington,,,428,421,6,0,855
Winooski,,,"1,853","1,836",51,0,"3,740"
TOTALS,,,"2,281","2,257",57,0,"4,595"
