City/Town,Ward,Pct,"Shap Smith","Warren Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Elmore,,,345,351,4,0,700
Morristown,,,"1,721","1,615",41,0,"3,377"
Woodbury,,,303,296,17,0,616
Worcester,,,380,312,4,0,696
TOTALS,,,"2,749","2,574",66,0,"5,389"
