City/Town,Ward,Pct,"Bernie Sanders","Greg Parke","Larry Drown","Jane Newton",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,Democratic,"Liberty Union"
Washington,,,346,134,34,11,0,0,525
Waterbury,,,"2,154",540,138,23,4,0,"2,859"
Waterford,,,383,257,49,4,0,0,693
Waterville,,,239,80,13,0,0,0,332
Weathersfield,,,936,429,123,22,0,0,"1,510"
Wells,,,237,226,55,10,0,0,528
"W. Fairlee",,,206,80,22,5,0,0,313
"W. Haven",,,80,42,5,1,0,0,128
"W. Rutland",,,680,351,77,9,0,0,"1,117"
"W. Windsor",,,398,175,53,3,0,0,629
Westfield,,,197,75,12,0,0,0,284
Westford,,,792,225,50,9,2,0,"1,078"
Westminster,-,"Windham 4",65,17,9,0,0,0,91
Westminster,-,"Windham 5","1,132",236,158,23,0,0,"1,549"
Westmore,,,150,52,9,3,0,0,214
Weston,,,223,111,34,17,0,0,385
Weybridge,,,383,125,19,1,1,0,529
Wheelock,,,194,80,26,3,0,0,303
Whiting,,,154,40,9,0,0,0,203
Whitingham,,,305,215,74,11,0,0,605
Williamstown,,,983,452,111,14,0,0,"1,560"
Williston,,,"3,208","1,341",244,33,4,0,"4,830"
Wilmington,,,605,357,160,26,0,0,"1,148"
Windham,,,109,60,23,27,1,0,220
Windsor,,,"1,160",333,178,18,0,0,"1,689"
Winhall,,,245,165,43,26,0,0,479
Winooski,,,"1,868",391,185,20,3,0,"2,467"
Wolcott,,,551,127,36,4,0,0,718
Woodbury,,,347,110,33,2,1,0,493
Woodford,,,121,47,33,4,0,0,205
Woodstock,,,"1,277",513,159,11,2,0,"1,962"
Worcester,,,410,86,30,4,0,0,530
TOTALS,,,"205,774","74,271","21,684","3,018",261,0,"305,008"
