City/Town,Ward,Pct,"Philip C. Winters","Sylvia R. Kennedy","Julie Ann Thayer","Bob Bland",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Chelsea,,,346,408,236,216,1,0,"1,207"
Corinth,,,193,316,289,285,0,0,"1,083"
Orange,,,284,272,162,98,1,0,817
Vershire,,,83,134,153,175,2,0,547
Washington,,,215,284,176,144,2,0,821
Williamstown,,,959,628,604,247,3,0,"2,441"
TOTALS,,,"2,080","2,042","1,620","1,165",9,0,"6,916"
