City/Town,Ward,Pct,"William Johnson","Bernie Henault",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Brighton,,,294,296,2,0,592
Canaan,,,352,79,1,0,432
"E. Haven",,,93,46,0,0,139
Lemington,,,46,5,0,0,51
Newark,,,153,94,0,0,247
Norton,,,70,18,0,0,88
Westmore,,,108,83,1,0,192
TOTALS,,,"1,116",621,4,0,"1,741"
