City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Barnet,,,722,38,0,760
Ryegate,,,460,20,0,480
Waterford,,,626,6,0,632
TOTALS,,,"1,808",64,0,"1,872"
