City/Town,Ward,Pct,"Rosemary McLaughlin","David M. Ainsworth",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,730,737,2,0,"1,469"
Tunbridge,,,383,313,0,0,696
TOTALS,,,"1,113","1,050",2,0,"2,165"
