City/Town,Ward,Pct,"Philip E. Bartlett","Betty M. Bolognani",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Dover,,,457,258,1,0,716
Readsboro,,,155,251,0,0,406
Searsburg,,,26,25,0,0,51
Stamford,,,164,284,0,0,448
Wardsboro,,,219,174,1,0,394
TOTALS,,,"1,021",992,2,0,"2,015"
