City/Town,Ward,Pct,"Harry L. Chen","Barry Isaacs",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridgewater,,,385,178,1,0,564
Chittenden,,,461,252,0,0,713
Killington,,,267,374,0,0,641
Mendon,,,407,231,1,0,639
TOTALS,,,"1,520","1,035",2,0,"2,557"
