City/Town,Ward,Pct,"George Allard","Richard J. Howrigan",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Democratic/Republican
Fairfield,,,591,784,4,0,"1,379"
Fletcher,,,360,452,1,0,813
"St. Albans Town",,,"2,153","1,634",13,0,"3,800"
TOTALS,,,"3,104","2,870",18,0,"5,992"
