City/Town,Ward,Pct,"Richard Lawrence","Cola H. Hudson","Edith Bell-Brown","Karen Budde",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Burke,,,436,421,308,282,0,0,"1,447"
Lyndon,,,"1,429","1,357",659,481,6,0,"3,932"
Sutton,,,252,246,119,147,0,0,764
TOTALS,,,"2,117","2,024","1,086",910,6,0,"6,143"
