City/Town,Ward,Pct,"Robert Dostis","Sue Minter","Jeffrey Larkin","Ralph Gerlach",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Duxbury,,,392,388,331,192,1,0,"1,304"
Huntington,,,704,679,261,256,1,0,"1,901"
Waterbury,,,"1,715","1,603","1,105",807,12,0,"5,242"
TOTALS,,,"2,811","2,670","1,697","1,255",14,0,"8,447"
