City/Town,Ward,Pct,"Janet Ancel","Heather F. Shouldice",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Calais,,,587,408,0,0,995
Marshfield,,,421,432,3,0,856
Plainfield,,,425,310,0,0,735
TOTALS,,,"1,433","1,150",3,0,"2,586"
