City/Town,Ward,Pct,"Mark S. Young",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Benson,,,463,8,0,471
Orwell,,,599,12,0,611
Shoreham,,,588,4,0,592
Whiting,,,196,1,0,197
TOTALS,,,"1,846",25,0,"1,871"
