City/Town,Ward,Pct,"Andy Donaghy","Fred Maslack",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Ira,,,24,13,0,0,37
Poultney,,,806,682,14,0,"1,502"
TOTALS,,,830,695,14,0,"1,539"
