City/Town,Ward,Pct,"Joseph Baker","Dave Potter","Judy Bloomer Crowley","Ron Evans",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic
Clarendon,,,642,771,626,301,1,0,"2,341"
Ira,,,78,111,70,46,0,0,305
Proctor,,,477,487,433,182,0,0,"1,579"
"W. Rutland",,,711,456,645,177,1,0,"1,990"
TOTALS,,,"1,908","1,825","1,774",706,2,0,"6,215"
