City/Town,Ward,Pct,"Harvey Smith","Chris Goodrich",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,354,351,1,0,706
"New Haven",,,556,420,0,0,976
Weybridge,,,225,305,1,0,531
TOTALS,,,"1,135","1,076",2,0,"2,213"
