City/Town,Ward,Pct,"Lawrence E. Molloy","Gerald Woodard",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,,,693,638,0,0,"1,331"
Rupert,,,27,33,1,0,61
Sandgate,,,111,94,0,0,205
Sunderland,,,267,221,0,0,488
TOTALS,,,"1,098",986,1,0,"2,085"
