City/Town,Ward,Pct,"Alice W. Nitka","Earl Washburn",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ludlow,,,612,655,1,0,"1,268"
"Mount Holly",,,440,280,1,0,721
Plymouth,,,190,145,0,0,335
TOTALS,,,"1,242","1,080",2,0,"2,324"
