City/Town,Ward,Pct,"Patsy French","Jim Hutchinson","Stephen W. Webster","Ed Stokes",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Braintree,,,339,307,267,172,0,0,"1,085"
Brookfield,,,422,378,287,207,0,0,"1,294"
Granville,,,103,103,27,26,0,0,259
Randolph,,,"1,398","1,224",979,569,1,0,"4,171"
TOTALS,,,"2,262","2,012","1,560",974,1,0,"6,809"
