City/Town,Ward,Pct,"John S. Winters","Kathy Labelle Lavoie","Jeremiah King",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Republican,Independent
Sheldon,,,432,372,299,4,0,"1,107"
Swanton,,,"1,973","1,694",371,16,0,"4,054"
TOTALS,,,"2,405","2,066",670,20,0,"5,161"
