City/Town,Ward,Pct,"Janice L. Peaslee","Stephanie R. Sterling",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bloomfield,,,70,38,0,0,108
Brunswick,,,35,25,0,0,60
Concord,,,286,220,0,0,506
Granby,,,37,14,0,0,51
Guildhall,,,96,42,0,0,138
Kirby,,,123,100,1,0,224
Lunenburg,,,368,193,0,0,561
Maidstone,,,59,26,0,0,85
Victory,,,33,27,1,0,61
TOTALS,,,"1,107",685,2,0,"1,794"
