City/Town,Ward,Pct,"Steven C. Adams","Mary O'Brien",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Hartland,,,973,867,0,0,"1,840"
"W. Windsor",,,368,265,0,0,633
TOTALS,,,"1,341","1,132",0,0,"2,473"
