City/Town,Ward,Pct,"Sarah Copeland Hanzas","Robert Lefebvre",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bradford,,,914,376,15,0,"1,305"
Fairlee,,,414,168,1,0,583
"W. Fairlee",,,226,98,0,0,324
TOTALS,,,"1,554",642,16,0,"2,212"
