City/Town,Ward,Pct,"Timothy R. Corcoran, II","Joseph L. Krawczyk, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bennington,-,"Benn Fire Dept","2,147","1,637",31,0,"3,815"
Bennington,-,"N Benn Fire Dept",539,307,14,0,860
TOTALS,,,"2,686","1,944",45,0,"4,675"
