City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,"1,324",29,0,"1,353"
Middlesex,,,891,15,0,906
TOTALS,,,"2,215",44,0,"2,259"
