City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Marlboro,,,481,3,0,484
Newfane,,,921,17,0,938
Townshend,,,556,10,0,566
TOTALS,,,"1,958",30,0,"1,988"
