City/Town,Ward,Pct,"Steve Darrow","David L. Deen",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Dummerston,,,905,745,25,0,"1,675"
Putney,,,"1,000",953,14,0,"1,967"
Westminster,,,"1,072","1,220",27,0,"2,319"
TOTALS,,,"2,977","2,918",66,0,"5,961"
