City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe","Craig Scribner","Nathan Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bristol,,,"1,022","1,005",892,467,6,0,"3,392"
Lincoln,,,544,423,271,142,1,0,"1,381"
Monkton,,,688,592,369,245,0,0,"1,894"
Starksboro,,,505,480,314,189,0,0,"1,488"
TOTALS,,,"2,759","2,500","1,846","1,043",7,0,"8,155"
