City/Town,Ward,Pct,"Steve Larrabee","Caleb Pitkin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Cabot,,,246,433,0,0,679
Danville,,,868,366,0,0,"1,234"
Peacham,,,220,235,1,0,456
TOTALS,,,"1,334","1,034",1,0,"2,369"
