City/Town,Ward,Pct,"Lucy Leriche","Dave Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Hardwick,,,801,737,1,0,"1,539"
Stannard,,,83,36,2,0,121
Walden,,,258,251,0,0,509
TOTALS,,,"1,142","1,024",3,0,"2,169"
