City/Town,Ward,Pct,"Maxine Grad","Anne B. Donahue","David Ellis",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican
Moretown,,,755,513,169,3,0,"1,440"
Northfield,,,"1,561","1,719",432,9,0,"3,721"
Roxbury,,,252,214,100,10,0,576
TOTALS,,,"2,568","2,446",701,22,0,"5,737"
