City/Town,Ward,Pct,"William H. Sorrell","Dennis Carver","Susan A. Davis","James Mark Leas","Karen Kerin","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Progressive,Green,Libertarian,"Liberty Union"
Wardsboro,,,171,147,17,24,12,1,0,0,372
Warren,,,607,243,61,48,35,9,1,0,"1,004"
Washington,,,265,189,18,12,14,9,0,0,507
Waterbury,,,"1,815",702,96,65,54,23,3,0,"2,758"
Waterford,,,282,338,31,8,14,9,0,0,682
Waterville,,,175,105,18,11,3,2,0,0,314
Weathersfield,,,690,575,83,33,41,15,0,0,"1,437"
Wells,,,199,255,15,14,14,9,0,0,506
"W. Fairlee",,,129,122,15,7,15,9,0,0,297
"W. Haven",,,53,54,4,7,5,1,0,0,124
"W. Rutland",,,549,419,40,21,16,19,1,0,"1,065"
"W. Windsor",,,332,229,21,17,9,1,0,0,609
Westfield,,,134,86,40,7,3,4,0,0,274
Westford,,,659,240,45,33,23,13,6,0,"1,019"
Westminster,-,"Windham 4",53,27,3,4,2,1,0,0,90
Westminster,-,"Windham 5",899,349,99,78,33,22,1,0,"1,481"
Westmore,,,105,65,19,8,5,2,1,0,205
Weston,,,201,136,9,12,5,5,0,0,368
Weybridge,,,378,116,9,5,6,3,0,0,517
Wheelock,,,145,102,19,9,7,9,0,0,291
Whiting,,,126,57,5,4,4,3,0,0,199
Whitingham,,,217,278,44,20,9,7,0,0,575
Williamstown,,,732,679,31,17,40,13,6,0,"1,518"
Williston,,,"3,138",243,108,88,60,23,3,0,"3,663"
Wilmington,,,460,447,75,53,25,14,2,0,"1,076"
Windham,,,104,78,9,11,6,4,0,0,212
Windsor,,,901,515,73,54,73,19,0,0,"1,635"
Winhall,,,194,214,15,19,11,4,3,0,460
Winooski,,,"1,676",416,123,109,46,23,3,0,"2,396"
Wolcott,,,384,203,40,27,14,13,1,0,682
Woodbury,,,233,182,21,26,7,4,4,0,477
Woodford,,,101,62,11,5,8,5,0,0,192
Woodstock,,,"1,023",649,62,54,62,13,1,0,"1,864"
Worcester,,,321,130,30,18,7,7,1,0,514
TOTALS,,,"169,726","90,285","14,351","8,769","6,357","2,944",267,0,"292,699"
