City/Town,Ward,Pct,"Michael Reese","Anthony Paino",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnard,,,377,176,2,0,555
Hartford,,,606,565,3,0,"1,174"
Pomfret,,,456,168,2,0,626
TOTALS,,,"1,439",909,7,0,"2,355"
