City/Town,Ward,Pct,"Avis Gervais",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Bakersfield,,,557,7,0,564
Enosburgh,,,"1,030",12,0,"1,042"
TOTALS,,,"1,587",19,0,"1,606"
