City/Town,Ward,Pct,"Brian C. Dunsmore","Carolyn Whitney Branagan","George Bilodeau","Bob Shea",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Fairfax,,,770,791,817,781,3,0,"3,162"
Georgia,,,"1,140","1,058",983,432,8,0,"3,621"
TOTALS,,,"1,910","1,849","1,800","1,213",11,0,"6,783"
