City/Town,Ward,Pct,"Patrick Leahy","Jack McMullen","Cris Ericson","Craig Hill","Keith Stern","Ben Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Marijuana,Green,Independent,"Liberty Union"
Addison,,,457,262,8,5,8,1,0,0,741
Albany,,,328,130,7,6,2,1,0,0,474
Alburgh,,,600,248,20,10,7,2,0,0,887
Andover,,,175,103,10,3,8,3,0,0,302
Arlington,,,837,407,42,23,16,3,0,0,"1,328"
Athens,,,81,42,2,2,3,3,0,0,133
Bakersfield,,,453,130,13,6,9,1,0,0,612
Baltimore,,,69,38,4,1,12,1,0,0,125
Barnard,,,388,156,6,6,2,3,0,0,561
Barnet,,,583,279,19,23,7,4,1,0,916
"Barre City",-,"Washington 3-1","1,358",538,35,14,8,4,1,0,"1,958"
"Barre City",-,"Washington 3-2","1,069",401,24,20,15,0,1,0,"1,530"
"Barre City",-,"Washington 3-3",211,63,5,2,5,0,0,0,286
"Barre Town",,,"2,679","1,373",42,34,29,11,4,0,"4,172"
Barton,,,900,328,24,10,18,4,1,0,"1,285"
Belvidere,,,94,44,5,2,0,0,0,0,145
Bennington,-,"Bennington 2-1","1,808",639,92,34,37,7,0,0,"2,617"
Bennington,-,"Bennington 2-1 Nb",505,93,16,35,9,7,2,0,667
Bennington,-,"Bennington 2-2","2,399",748,120,58,62,6,1,0,"3,394"
Bennington,-,"Bennington 5",27,34,0,1,0,2,0,0,64
Benson,,,329,154,15,8,7,0,0,0,513
Berkshire,,,455,152,12,5,3,3,0,0,630
Berlin,,,938,350,17,16,6,2,0,0,"1,329"
Bethel,,,704,243,18,18,9,6,0,0,998
Bloomfield,,,66,33,0,5,0,0,0,0,104
Bolton,,,465,140,12,7,3,0,0,0,627
Bradford,,,822,376,45,21,17,3,1,0,"1,285"
Braintree,,,379,174,9,22,7,2,2,0,595
Brandon,,,"1,319",539,42,13,18,5,1,0,"1,937"
Brattleboro,-,"Windham 3-1","1,689",467,47,37,19,16,1,0,"2,276"
Brattleboro,-,"Windham 3-2","1,440",263,65,35,17,13,0,0,"1,833"
Brattleboro,-,"Windham 3-3","1,473",226,58,40,18,18,0,0,"1,833"
Bridgewater,,,352,159,26,5,18,1,0,0,561
Bridport,,,438,216,19,18,5,0,0,0,696
Brighton,,,385,178,16,6,9,1,3,0,598
Bristol,,,"1,403",426,37,21,13,2,1,0,"1,903"
Brookfield,,,501,188,10,7,9,4,0,0,719
Brookline,,,167,82,15,6,3,2,0,0,275
Brownington,,,247,102,7,3,3,1,0,0,363
Brunswick,,,40,8,2,1,7,0,0,0,58
Burke,,,526,238,19,7,13,3,0,0,806
Burlington,-,"Chittenden 3-1","3,028",820,42,17,18,7,2,0,"3,934"
Burlington,-,"Chittenden 3-2","1,618",405,29,28,20,2,3,0,"2,105"
Burlington,-,"Chittenden 3-3","3,350",311,190,144,35,14,4,0,"4,048"
Burlington,-,"Chittenden 3-4","2,587",299,218,150,23,3,6,0,"3,286"
Burlington,-,"Chittenden 3-5","3,985",653,106,87,29,6,4,0,"4,870"
Burlington,-,"Chittenden 3-6",510,81,12,8,4,2,0,0,617
Cabot,,,483,161,20,9,7,3,0,0,683
Calais,,,794,174,14,12,2,3,1,0,"1,000"
Cambridge,,,"1,282",370,36,25,12,4,1,0,"1,730"
Canaan,,,272,114,10,16,11,3,2,0,428
Castleton,,,"1,126",622,68,19,28,5,1,0,"1,869"
Cavendish,,,426,214,32,14,23,4,0,0,713
Charleston,,,289,122,9,5,2,0,1,0,428
Charlotte,,,"1,739",477,34,20,7,3,1,0,"2,281"
Chelsea,,,463,210,8,6,4,2,2,0,695
Chester,,,"1,103",387,62,12,66,4,0,0,"1,634"
Chittenden,,,417,257,13,12,7,3,0,0,709
Clarendon,,,776,514,27,11,8,2,2,0,"1,340"
