City/Town,Ward,Pct,"Kathy Pellett","Erron J. Carey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Andover,,,165,140,0,0,305
Baltimore,,,52,75,0,0,127
Chester,,,864,768,1,0,"1,633"
Springfield,,,28,18,0,0,46
TOTALS,,,"1,109","1,001",1,0,"2,111"
