City/Town,Ward,Pct,"William H. Sorrell","Sandy Ward",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,"Vermont Grassroots"
Westfield,,,190,50,0,0,240
Westford,,,749,147,31,0,927
Westminster,,,"1,113",271,9,0,"1,393"
Westmore,,,189,29,0,0,218
Weston,,,286,50,1,0,337
Weybridge,,,435,46,4,0,485
Wheelock,,,203,62,4,0,269
Whiting,,,166,21,0,0,187
Whitingham,,,431,105,18,0,554
Williamstown,,,"1,202",185,60,0,"1,447"
Williston,-,"Chittenden 5-1",658,89,25,0,772
Williston,-,"Chittenden 5-2","2,915",265,71,0,"3,251"
Wilmington,,,837,179,5,0,"1,021"
Windham,,,135,40,2,0,177
Windsor,,,"1,269",266,15,0,"1,550"
Winhall,,,343,56,2,0,401
Winooski,-,Armory,834,113,18,0,965
Winooski,-,"St. Francis","1,154",208,19,0,"1,381"
Wolcott,,,480,111,5,0,596
Woodbury,,,348,77,3,0,428
Woodford,,,124,40,0,0,164
Woodstock,,,"1,425",235,15,0,"1,675"
Worcester,,,405,91,1,0,497
TOTALS,,,"226,668","39,713","3,579",0,"269,960"
