City/Town,Ward,Pct,"Richard Mazza","Neal Danaher",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Alburgh,,,417,343,2,0,762
Colchester,-,"Chittenden 1-1","2,665","1,651",16,0,"4,332"
Colchester,-,"Chittenden 1-2","1,694","1,156",5,0,"2,855"
Colchester,-,"Chittenden 1-3",23,1,0,0,24
"Grand Isle",,,632,426,0,0,"1,058"
"Isle La Motte",,,131,137,0,0,268
"N. Hero",,,205,249,1,0,455
"S. Hero",,,667,364,2,0,"1,033"
TOTALS,,,"6,434","4,327",26,0,"10,787"
