City/Town,Ward,Pct,"George Allard","Tayt R. Brooks","David Abell McWilliams",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
"St. Albans Town",,,"1,195",944,129,5,0,"2,273"
TOTALS,,,"1,195",944,129,5,0,"2,273"
