City/Town,Ward,Pct,"George C. Cross","Kenneth W. Atkins","Robert L. Picher","Paul E. Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Colchester,,,18,15,1,0,1,0,35
Winooski,-,Armory,513,532,494,289,5,0,"1,833"
Winooski,-,"St. Francis",826,759,608,411,7,0,"2,611"
TOTALS,,,"1,357","1,306","1,103",700,13,0,"4,479"
