City/Town,Ward,Pct,"Perry D. Waite","Dave Benson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Middletown Springs",,,300,142,3,0,445
Pawlet,,,529,156,1,0,686
Rupert,,,251,157,4,0,412
Wells,,,300,191,0,0,491
TOTALS,,,"1,380",646,8,0,"2,034"
