City/Town,Ward,Pct,"Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Bridgewater,,,436,5,0,441
Chittenden,,,522,21,0,543
Mendon,,,527,2,0,529
Sherburne,,,567,8,0,575
TOTALS,,,"2,052",36,0,"2,088"
