City/Town,Ward,Pct,"James W. Willett","Kathleen C. Keenan","Diane Remillard Costes",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Democratic,Republican
"St. Albans City",,,"1,448","1,451","1,259",25,0,"4,183"
"St. Albans Town",,,79,55,56,0,0,190
TOTALS,,,"1,527","1,506","1,315",25,0,"4,373"
