City/Town,Ward,Pct,"Harry S. Monti","Ruth H. Towne","Ed Stanak","Anita L. Chadderton",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Republican,Independent,Democratic
"Barre City",,,"1,293",909,530,487,13,0,"3,232"
Berlin,,,534,838,319,243,2,0,"1,936"
TOTALS,,,"1,827","1,747",849,730,15,0,"5,168"
