City/Town,Ward,Pct,"John Patrick Tracy","Steve Hingtgen",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Progressive
Burlington,-,"Chittenden 7-2 Ward 2",366,306,15,0,687
Burlington,-,"Chittenden 7-2 Ward 3","1,494","1,127",55,0,"2,676"
Burlington,-,"Chittenden 7-2 Ward 5",61,42,3,0,106
TOTALS,,,"1,921","1,475",73,0,"3,469"
